MG8XVA5BFA	161001	00:00:22.921	L	0047.0	RL	0125.0	0172.0	
MG8XVA5BFA	161001	00:00:23.014	R	0140.0	LR	0125.0	0172.0	
MG8XVA5BFA	161001	00:00:26.009	R	0078.0	LR	0171.0	0062.0	
MG8XVA5BFA	161001	00:00:26.353	S	0141.0	RS	0281.0	0203.0	
MG8XVA5BFA	161001	00:00:26.587	L	0141.0	SL	0234.0	0093.0	
MG8XVA5BFA	161001	00:00:26.867	R	0062.0	LR	0140.0	0218.0	
MG8XVA5BFA	161001	00:00:26.930	L	0125.0	RL	0140.0	0218.0	
MG8XVA5BFA	161001	00:00:27.164	L	0141.0	LL	0218.0	0093.0	
MG8XVA5BFA	161001	00:00:27.569	R	0093.0	LR	0453.0	0312.0	
MG8XVA5BFA	161001	00:00:27.881	L	0156.0	RL	0249.0	0156.0	
MG8XVA5BFA	161001	00:00:28.053	L	0047.0	LL	0078.0	0125.0	
MG8XVA5BFA	161001	00:00:28.115	R	0109.0	LR	0078.0	0125.0	
MG8XVA5BFA	161001	00:00:28.303	S	0047.0	RS	0094.0	0141.0	
MG8XVA5BFA	161001	00:00:28.412	R	0047.0	SR	0109.0	0062.0	
MG8XVA5BFA	161001	00:00:28.537	L	0047.0	RL	0125.0	0078.0	
MG8XVA5BFA	161001	00:00:28.599	L	0109.0	LL	0125.0	0078.0	
MG8XVA5BFA	161001	00:00:28.802	L	0094.0	LL	0218.0	0109.0	
MG8XVA5BFA	161001	00:00:28.911	R	0062.0	LR	0141.0	0047.0	
MG8XVA5BFA	161001	00:05:05.327	L	0046.0	LL	0125.0	0188.0	
MG8XVA5BFA	161001	00:05:05.405	R	0124.0	LR	0125.0	0188.0	
MG8XVA5BFA	161001	00:05:05.577	R	0094.0	RR	0202.0	0078.0	
MG8XVA5BFA	161001	00:05:05.795	R	0156.0	RR	0156.0	0062.0	
MG8XVA5BFA	161001	00:05:05.936	R	0094.0	RR	0203.0	0047.0	
MG8XVA5BFA	161001	00:05:06.217	S	0156.0	RS	0219.0	0125.0	
MG8XVA5BFA	161001	00:05:06.778	L	0125.0	LL	0218.0	0046.0	
MG8XVA5BFA	161001	00:05:06.934	L	0109.0	LL	0172.0	0047.0	
MG8XVA5BFA	161001	00:05:07.121	L	0093.0	LL	0203.0	0094.0	
MG8XVA5BFA	161001	00:05:07.371	L	0047.0	LL	0109.0	0203.0	
MG8XVA5BFA	161001	00:05:07.449	L	0125.0	LL	0109.0	0203.0	
MG8XVA5BFA	161001	00:05:07.605	S	0109.0	LS	0172.0	0047.0	
MG8XVA5BFA	161001	00:05:07.745	L	0093.0	SL	0156.0	0047.0	
MG8XVA5BFA	161001	00:05:07.917	L	0078.0	LL	0187.0	0094.0	
MG8XVA5BFA	161001	00:05:08.089	L	0094.0	LL	0156.0	0078.0	
MG8XVA5BFA	161001	00:05:08.291	S	0124.0	LS	0172.0	0078.0	
MG8XVA5BFA	161001	00:05:08.432	R	0078.0	SR	0187.0	0063.0	
MG8XVA5BFA	161001	00:05:08.650	R	0109.0	RR	0187.0	0109.0	
MG8XVA5BFA	161001	00:05:08.900	R	0125.0	RR	0234.0	0125.0	
MG8XVA5BFA	161001	00:05:09.087	L	0125.0	RL	0187.0	0062.0	
MG8XVA5BFA	161001	00:08:39.668	L	0156.0	RL	0312.0	0140.0	
MG8XVA5BFA	161001	00:08:40.823	R	0032.0	LR	0156.0	0234.0	
MG8XVA5BFA	161001	00:08:40.885	L	0094.0	RL	0156.0	0234.0	
MG8XVA5BFA	161001	00:08:41.743	R	0125.0	SR	0234.0	0093.0	
MG8XVA5BFA	161001	00:08:41.946	R	0047.0	RR	0109.0	0156.0	
MG8XVA5BFA	161001	00:08:42.055	L	0047.0	RL	0109.0	0062.0	
MG8XVA5BFA	161001	00:08:42.102	R	0094.0	LR	0109.0	0062.0	
MG8XVA5BFA	161001	00:08:42.351	R	0140.0	RR	0203.0	0109.0	
